,Unnamed: 0,index,choice1,choice2,Full_sentence,right_answer
10,10,10,Ari opens the jar to find perfect pickles.,Ari's pickles are sweet.,Ari spends $20 a day on pickles.He decides to make his own to save money.He puts the pickles in brine.Ari waits 2 weeks for his pickles to get sour.,1
11,11,11,Trudey hoped self-publishing would be more profitable.,Trudey called her sister and asked her to come to dinner.,Trudey wanted to write novels for a living.She wrote one through traditional publishing means.It barely made enough to cover the advance she had received.She wrote another through self-publishing avenues.,1
12,12,12,The pair then went out to pick olives.,Feliciano was happy about his nice day.,"Feliciano went olive picking with his grandmother.While they picked, she told him stories of his ancestors.Before he realized it, the sun was going down.They took the olives home and ate them together.",2
13,13,13,Aaron suggested he help her cook another meal instead.,Aaron broke up with her.,"Aaron's girlfriend asked him to come over for dinner.She said she was making his favorite, chicken alfredo.Aaron was very excited she wanted to cook, but he hated alfredo.She must have mixed up his words when he told her his least favorite.",1
14,14,14,Oliver decided to not get married.,Oliver was so grateful for his wife's love.,"Oliver was nervous about his wedding.He was worried that he would stutter during the vows.When the time came, he took a deep breath and began to speak.He stuttered, but his wife smiled and hugged him and he was okay.",2
15,15,15,Sarah broke her leg.,Somebody found her cat.,Sara had lost her cat.She was so sad!She put up signs all over the neighborhood.Then a wonderful thing happened.,2
16,16,16,Kelly was mad about that.,Kelly was so happy to finally beat it.,Kelly was playing her new Mario game.She had been playing it for weeks.She was playing for so long without beating the level.Finally she beat the last level.,2
17,17,17,Deb said yes to Tim's marriage proposal.,Deb told Tim she was only interested in woman.,Tim and Deb have been dating for almost a year.They met at a party they attended last Christmas.Tim picked Deb up for a date tonight and took her to a fancy dinner.Just after dessert he proposed marriage.,1
18,18,18,I thought the cereal was delicious.,I loved them anyway.,"My roommate is from Germany.He is a very good cook.One day, he made some sausage for me that he ate back home in Germany.The sausage turned out poorly, according to him.",2
19,19,19,To this day I hate checkers.,I have very fond memories of checkers.,"When I was a kid I really wanted to play checkers.I sat down with my grandpa and he taught me.At first, he was just teaching me but it became a special thing.As I got older, I continued to play checkers with him.",2
20,20,20,Amy spent all of her money on clothes.,She loved her new phone.,Ivy wanted a cell phone like all her friends.She saved up her money from delivering papers.Soon she had enough for a phone.She went shopping and selected the perfect phone.,2
21,21,21,Dave bought an entire case.,They were on sale.,Dave walked into the grocery store.He was going there to buy his favorite energy drink.He only had enough money to buy one can.He reached the aisle and what he saw made him smile.,2
22,22,22,Gina asked her grandpa what kind of flowers he liked best.,Gina decided to go outside and pick some of the weeds.,Gina sat on her grandpa's bed staring outside.It was winter and his garden was dead until spring.Her grandpa had passed away so there would be no one to tend it.The weeds would take over and strangle the flowers.,2
23,23,23,She was offered the new job at a higher salary.,Ramona had no reason to want to change jobs.,"Ramona was very unhappy in her job.She asked for a raise, but was denied.The refusal prompted her to aggressively comb the want ads.She found an interesting new possibility and set up an interview.",1
24,24,24,My parents gave me enough money to buy the console.,At the end of the summer I gave the money back to my parents.,"I wanted to buy a video game console.I asked my parents, and they came up with an idea.They said if I did my chores, I would be given money to save.I did my chores without being asked every week for a whole summer.",1
25,25,25,Felipe never wanted to go to Germany again.,Felipe visited Germany again later in his life.,"Felipe had been interested in Germany since he was a young child.He learned about the language and culture by reading library books.Finally in college he was able to visit Berlin.Felipe loved the German art, food, and beer.",2
26,26,26,Miles got up and walked away.,Miles decided that he needed to be more careful.,"Miles was a roofer.He loved his job and was very good at it.However, one day he was not paying attention and fell off the roof.Luckily, he only broke his leg.",2
27,27,27,Johnny wanted to ask Anita out again.,Johnny did not ask Anita out again.,"Johnny thought Anita was the girl for him, but he was wrong.He invited her out but she said she didn't feel well.Johnny decided to go to a club, just to drink and listen to music.At midnight, he looked back and saw Anita dancing with another guy.",2
28,28,28,"He was near death for sure, he would be gone before night's end.",He got up and decided to go for a jog.,His eyes burned with pain.His stomach churned and twisted.His lungs were filled with fluid.Painful coughs rattled the halls of his small home.,1
29,29,29,Tom hurried to study as much as possible before the test.,Tom felt prepared for the test.,Tom was studying for the big test.He then fell asleep do to boredom.He slept for five hours.He woke up shocked.,1
30,30,30,He decided to buy more lunch and then he felt sick.,He then stopped eating because he was full.,My friends got lunch and met up at the table.Ben was hungry and finished his lunch before everyone did.He returned to the lunch line to buy more food.That didn't make him up.,1
31,31,31,Jill and her dad took one kitten home.,Jill and her dad took both kittens home.,Jill's dad took her to pick out a kitten.There were two in the cage.She couldn't leave one behind.Her dad agreed.,2
32,32,32,I got a nice sun tan that day.,I was hit in the face with a football and got a black eye.,"Today was my 1st grade field trip.My class went to the field in the back of the school.Many students and faculty were resting on towels placed on the ground.In addition, many sports took place.",1
33,33,33,The dog ran home with his tail between his legs.,The other dog got the better of him and bit his ear.,"A dog paused by a pond to drink.He mistook his reflection for another dog.Spoiling for a fight, he leapt into the water.Unsurprisingly, his opponent proved elusive.",1
34,34,34,Peter hated Christmas.,Peter's daughter enjoyed the music.,"Peter wished to show his daughter his favorite Christmas song.He played her a video of the song.Next, he let her listen to the sound track.The last time he decided to sing her the song.",2
35,35,35,Yao placed in two categories.,The judges ate Yao's vegetables without rewarding him.,Yao was an enthusiastic gardener.He had a big garden in his backyard that he loved very much.He decided to take his vegetables and enter them in the local fair.He waited with anticipation for the results.,1
36,36,36,Mary lost her job because she didn't have any stamina.,Mary was glad she learned to jump rope.,Mary liked jumping rope.She would do it all the time.It kept her in good shape.She always had energy.,2
37,37,37,He told me to go to hell.,He filled my order.,I was at the bar with some friends.It was my turn to buy a round.I went up to the bartender and asked him for 13 beers and a shot.He asked for my card and took my order.,2
38,38,38,His friend loved the tacos that Scott cooked.,His friend was so offended he asked Scott to leave.,Scott was hungry.He decided to cook dinner.He cooked tacos.He made enough to share with a friend.,1
39,39,39,He was asked to join the team.,He played terribly.,"Jorel wanted to try out for the basketball team.He practiced very hard.On the day of tryouts, he was very nervous.His practice paid off.",1
40,40,40,Beth's dog had been hit by a car!,Beth had just won the lottery!,Beth and Carol went out for Chinese.After dinner Beth opened up her fortune cookie.Beth was anticipating good fortune for the rest of the week.Beth called her later in the week to give her good news.,2
41,41,41,The water was very still.,The water exploded.,Sally liked the seltzer waters her mom bought.She grabbed one from the fridge.She was excited to open it and taste it.Sally didn't know her brother shook all of them beforehand.,2
42,42,42,Her best friend felt angry.,Her best friend was elated.,"The bride and groom walked down the aisle.The were finally married.The wedding was at the country club.When the bride threw her bouquet, her best friend caught it.",2
43,43,43,Gordon is fired for being late to the meeting.,Gordon vows to be more careful next time.,Gordon is in a rush to get to a meeting.He bursts out of the laboratory and slips on the ice outside.When he gets up he notices he has scraped his wrist.He barely makes it to his meeting on time.,2
44,44,44,The police had to come to break up the argument.,They complemented each other on how tasty the cake was.,"The two elderly ladies chatted as they ate lunch in the park.One of them brought out a basket and set the food out on the table.They talked and ate happily until they began to argue about something.One of them threw a piece of cake at the other, starting a food fight.",1
45,45,45,Mike was glad he didn't walk around the schoolyard.,Mike was sad to see his girlfriend with someone else.,Mike had a beautiful girlfriend.One day he was walking around his school yard.He saw his girlfriend with another guy.The other guy was his friend bob.,2
46,46,46,Kara asked the neighbors not to put out dog treats in their yard.,Kara bought a pet cat and dyed it pink.,"Kara lost her dog yesterday.She freaked out.Frantic, Kara looked all over town for it.Finally she found the dog in her neighbor's yard.",1
47,47,47,"After saving her, we were all relieved.",We then let her go swimming.,Every year we attend a poolside barbecue at my aunt's house.One year when my sister was very young she fell in the pool.As soon as my dad realized she was missing he ran for the pool.He dove in and brought my sister to the surface.,1
48,48,48,The harpooner went down with the ship.,The harpooner emerged on a surfboard.,"The harpooner struck the whale, which thrashed and began its run.For a few minutes, all was well, but then the whale sounded deep.The line could not pay out fast enough, and the bow dipped deep.The boat slipped below the waves, and did not come back up.",1
49,49,49,Sarah was so depressed.,Sarah was delighted she dropped the toast.,"Sarah was very hungry.She went to the kitchen to eat, but only had bread.She made some toast, with butter and jam.When she was walking to the table, she dropped the toast.",1
50,50,50,"After that, we went home and peacefully slept.",We then left six flags and went home.,We left North Carolina the day after Christmas and drove to Florida.It was a long drive and we couldn't wait to get there.We spent time with family and went to Disney World.We spent an entire day in the Magic Kingdom.,1
51,51,51,She thought she could be an honorary aunt.,She decided she didn't like babies.,"Nicole wanted to be an Aunt more than anything.The trouble was that she didn't have any siblings.Today Nicole got a note from her cousin, Xiao.Xiao and her husband were expecting a baby boy.",1
52,52,52,The ocean was a calm as a bathtub.,A big wave knocked Mary down.,Mary and Emma drove to the beach.They decided to swim in the ocean.Mary turned to talk to Emma.Emma said to watch out for the waves.,2
53,53,53,Ashley got a part time job too.,Jeff quit his job that day.,Jeff just got engaged to his girlfriend Ashley!They are very happy and started planning the wedding right away.Within hours they realized how expensive everything is going to be.Jeff decided to get a part time job to pay for all of this.,1
54,54,54,Josh loved the outdoors.,Josh loathed the outdoors.,"Josh woke up early to get ready for the hike he had been planning.After a shower, he made sure all his supplies were packed.He left his house and drove to the park where he was going hiking.Because it was early in the day Josh had the trail mostly to himself.",1
55,55,55,We decided to leave after sitting down.,We had court side seats.,There was a basketball game on Friday.My friends and I wanted to go see it.We got together and got some money for snacks.We went to the court and sat down.,2
56,56,56,It was just what she wanted.,She was very allergic to poison ivy.,Anne wanted ivy to climb the walls of her house.She thought it looked quaint and enchanting.She got small ivy plants and planted them.Soon they began climbing up her home's walls.,1
57,57,57,I know I'll eat pears one day.,I know I'll get there one day.,My goal is to do over two hundred pounds on the squat machine.At my gym that is the maximum weight on that machine.Right now I can only do about one hundred and fifty pounds.I worked real hard at it for well over six months.,2
58,58,58,She was disappointed.,She had a wonderful time.,Ella's dad had to go on a business trip to Munich.Ella begged her dad to bring her with him.She had never been to Germany and she wanted to see it!Her dad agreed and brought Ella with him on the trip.,2
59,59,59,He cried incessantly and begged to go home.,He thanked his parents for taking him to a movie.,"Henry's parents took him to his first movie.They bought him some snacks before going inside.Inside the theater, they sat in the back row of seats.Henry enjoyed the entire movie.",2
60,60,60,He couldn't find the tuna.,He didn't look for the tuna.,Tim loved to swim with tuna deep in the ocean.He would never hurt or try to catch them.One day a fishing boat came to the home of the tuna.Tim tried to dive down the next day with the tuna.,1
61,61,61,She had been away on a trip in Alaska for some time.,To his relief she accepted.,Mel took a girl on a date.They had a wonderful time.The next day he called her for a second date.He was worried she would refuse.,2
62,62,62,Lira became one of the rapper's roadies.,Lira never listened to the rappers music again.,"Lira was so excited to meet her favorite rapper.She had backstage passes for after the concert.She made her way backstage and introduced herself.She was horrified to see that the rapper was drunk, rude and sexist.",2
63,63,63,Caitlin felt guilty and came clean to her mom.,Caitlin's sister took the punishment justly.,"While washing the dishes, Caitlin broke one of her mom's best dishes.Caitlin knew her mom would be mad.She lied and said that her sister did it.Her sister was scolded.",1
64,64,64,Andrea introduced the dog to the family.,Andrea gave the dog to a stranger.,"Andrea was looking for a new pet.She was considering adopting a dog.After visiting the local dog shelter, she decided to rescue a puppy.After the paperwork was finalized, Andrea brought the dog home.",1
65,65,65,Will was very upset that Anna said yes.,They got married eight months later.,"Will and Anna had dated for 12 Year's.They took a vacation together to the beach.While walking on the beach, Will decided to propose.Anna said yes.",2
66,66,66,Each time she rode a different animal making her happy.,Ellie cried both times because she didn't want to ride the ride.,Ellie watched the merry go round.She couldn't decide which animal to ride.There was a pink horse or a blue bunny.So she got on it twice.,1
67,67,67,My friends stopped playing to help me off the field.,I got back up to finish the game.,"I was playing football with friends.We set up in our positions.When the game began, I was tackled.I hurt my knee and screamed.",1
68,68,68,My rehab therapist is motivational.,My rehab therapist is a narcissist.,"My rehab therapist visited me today.He was to do a quick workout.We started off with some lower body exercises.When I did some crunches, he tried to do more crunches than me.",1
69,69,69,My girlfriend just completed a degree in Soil Management.,I took them back to the store and got a different size.,I bought my girlfriend new gloves for Christmas.They are leather and look nice.She loved them and tried them on.Unfortunately they didn't fit.,2
70,70,70,A stranger had stolen her purse.,A stranger had found her purse and returned it to the restaurant.,Mina lost her purse at a restaurant.She was so unhappy!She thought she would never get her things back.But then Mina got a wonderful surprise.,2
71,71,71,"Pete quit his job, and never looked back.",A year later he was promoted again.,Pete got a new job at a software company.This had been Pete's dream job his whole life.Pete wrote down all his good ideas and constantly showed his boss.Before long Pete got promoted to assistant manager.,2
72,72,72,I was not happy to hear from her so we broke up.,I was really happy to see her and we made plans.,I hadn't seen my girlfriend in a while.She got a new job so it's hard to talk.The job takes up all of her time.Finally she called me to hang out.,2
73,73,73,She couldn't help but burst into peals of laughter.,She tried to be as quiet as possible while she sobbed.,Gina just wanted to be alone to cry.The only place she could do that in the school was the bathroom.But people were in the bathroom.She stood with her hand on the door feeling the tears burn her eyes.,2
74,74,74,Gina was sad.,Gina had a great time.,"Gina was watering the garden.As her brother walked by she sprayed him with water.He ran laughing, and screaming.Her sisters and another brother joined in as well.",2
75,75,75,Agatha decided to buy two more.,Agatha decided to return them.,Agatha had always wanted pet birds.So one day she purchased two pet finches.Soon she couldn't stand their constant noise.And even worse was their constant mess.,2
76,76,76,Their parents said they had to complete their chores first.,"Their parents said yes, and they went to the movies.",The boys wanted to go to the movies.They knew if they asked without doing their chores they could not go.They completed all of their chores.They asked if they could go to the movies.,2
77,77,77,He did a great job.,He told me to cut it myself.,"I noticed my hair was getting too long.I tried to cut it myself, but failed.I put on my shoes and grabbed my keys.I went to the barber for a haircut.",1
78,78,78,Sandra told the agent to leave her alone.,So she got cozy with the agent.,Sandra couldn't believe that she had finally arrived in Hollywood.She began going on auditions to realize her dream of becoming a star.Things didn't pan out and she had to take a waitressing job to get by.She soon learned that one of her regular patrons was a talent agent.,2
79,79,79,She then brought out a cake and they all felt better.,She told them that she did not have the cake.,Sally was going to surprise the office with a cake.Sally felt that a cake would be a good way to make them smile.She went to the supermarket to pick up the cake.At the office she gathered the employees around the conference table.,1
80,80,80,Before long Sarah began getting better at Algebra.,Then Sarah gave up on learning Algebra.,"Sarah was learning Algebra on her own.But after several weeks, she didn't improve much.She realized that she didn't set any goals for herself.So everyday, she set a certain goal.",1
81,81,81,Lewy decided to throw all the worthless tractor parts away.,He built his very own tractor.,Lewy loved tractors.One day he decided to build one.He went to the scrap yard for parts.Next he took them home.,2
82,82,82,Bill was the proudest.,Bill is ashamed.,Bill couldn't afford to go to college when he was younger.Now he is an old man whose dream is to get a degree.At the age of 70 he finally accomplished his dream.Everyone was very proud of him.,1
83,83,83,Dan was able to find an owner for the dog.,Dan gave up and released the dog back into the wild.,Dan saw a dog shivering in the rainy and thought it looked lost.The dog was friendly enough and Dan was able to bring him home.The animal had no tags or collar and seemed malnourished.Daniel posted signs around the neighborhood and asked his neighbors.,1
84,84,84,A passer-by helped her up and helped her collect the papers.,The teacher got up and walked home leaving the papers behind.,"The teacher was walking with a stack of papers.Outside started to rain.When the teacher tried to walk down a few steps, she ended up falling.The papers flew out of her hands and landed on the ground.",1
85,85,85,The Bradleys then had a great camping trip.,The Bradleys turned around and drove home.,The Bradley family decided to take a camping trip.They packed the car for the two hour trip.Once they arrived it was almost dark and began to storm.After the rain had passed they set up the tent and started the fire.,1
86,86,86,Don and his wife gave up and went home.,Don and his wife got the movie.,"Don and his wife drove to a video rental shop.After half an hour, the two couldn't decide on a movie to watch.Don asked the owner of the shop to pick out a movie for them.The owner selected a popular romantic comedy starring Katherine Heigl.",2
87,87,87,Missy got another tattoo on her cheek.,"After much wasted money, the tattoo was gone.","Missy got drunk and went to get a tattoo.She decided to get a tattoo on her forehead.The next day, Missy was horrified at what she had done.Missy scraped up her money to pay for a tattoo removal procedure.",2
88,88,88,Jon was happy to see his weight loss results.,John had a burger and fries for dinner.,Jon was getting out of shape.Jon decided to lose weight.He began to eat and exercise better.Jon kept it up and started to feel results.,1
89,89,89,The home team's stands were full when the game began.,No one in town cared to attend the game.,The high school football team was going to playoffs.The team was excited and the town showed their support.Doors were decorated.Businesses closed early.,1
90,90,90,All of his roommates made coffee.,All of his roommates were sick of coffee.,Earl woke up early to make some coffee.He wanted to be alert for work that day.The aroma woke up all his roommates.They wanted to make coffee too.,1
91,91,91,Maggie and her dog are best friends.,Maggie hates to spend time with her smelly dog.,Maggie has a dog.She takes her dog for walks.They go to the park and play.When they come home Maggie feeds her dog.,1
92,92,92,Ella was mad because her boyfriend was so critical.,Ella realized it really didn't matter what dress she chose.,Ella was trying to pick a prom dress.She could not decide!So she asked her boyfriend for his opinion.He said she was beautiful in any dress she chose!,2
93,93,93,Ben never starts working out.,Ben goes to the gym every day.,Ben decided to get more fit for 2016.He planned to work out at least 4 times a week.Ben decided to wait until next Monday to start working out.Monday has passed and Ben still hasn't started his workout plan.,1
94,94,94,Our daughter was very thankful for the gift.,Our daughter felt depressed.,A G Bear is a teddy bear with a box.It talks back to you in gibberish.I bought one for my wife when we were young.She gave it to our daughter when she was three.,1
95,95,95,Chris then opened a business and became successful.,Chris could not sell any eggs.,Chris had a lot of chickens.He gathered eggs from them every day.He took the eggs down to the farmer's market.Everyone loved Chris's eggs and paid a lot of money for them.,1
96,96,96,"After listening, the kids then made wonderful art.",The kids then began to write their own songs.,My daughter was celebrating her 6th birthday.We decided to have a party for her and her friends at an art studio.All her friends arrived and waited for the instructions.Each friend listened to directions on how to paint their picture.,1
97,97,97,Mom slapped Chief Brody for not closing the  beaches.,Mom will never shop at that store at night again.,My mom was driving to the store last night.She stopped at a light and couple of guys ran up to her door.They put a gun to her head and told her to get out of the car.They took it and drove off.,2
98,98,98,They spent the afternoon reading books together.,Finally Sal got to the next level with the help of his cousin.,Sal was playing his game constantly.He could not beat level 9 for anything!Then his cousin came over and offered to help him.The two boys played side by side.,2
99,99,99,"After he quit, he managed to find a better job.",Will was then fired from his job.,Will used to work for a coal mining company.He was a manager.He quit last year.He said that he couldn't deal with those people.,1
100,100,100,Bob proudly showed his house to the cleaners.,Bob was nervous about what the cleaners would think of him.,Bob was a hoarder.He collected a lot of useless things inside his home.His home was beginning to pile up with garbage.Bob decided to call a professional cleaning service.,2
101,101,101,It was a spectacular and memorable night.,My girlfriend did not want to go on anymore dates with me.,"I asked my girlfriend to prom in a very creative way.She said yes!I got a tuxedo and she got a beautiful dress.At prom, we were named prom king and prom queen!",1
102,102,102,I did not find the food tempting at all.,I gave in and accepted the food since I was hungry.,"Today was the first day of fasting.I was in a bad mood since I couldn't eat anything.I tried to go to sleep however, it didn't go well.My friends offered food to me.",2
103,103,103,She asked the shelter worker about adopting the dog.,She swatted the dog with a newspaper.,"Jane went on a walk.On the walk, she passed an animal shelter.She saw an adorable dog staring back at her in the window.Jane went in and instantly bonded well with the dog.",1
104,104,104,Rufus was not very musical.,Rufus had determination.,Rufus had always loved the soothing sounds of a cello playing.He resolved that he would learn cello one day.He enrolled in a cello course and practiced each night.Finally he was an expert at cello.,2
105,105,105,The story quickly replaced his stereo.,The stereo was perfectly fine.,Chuck bought a stereo from a store today.He went home and set it all up and was excited to play his music.As soon as he play the first song one of the speakers broke.Chuck was upset and returned to the store with the broken stereo.,1
106,106,106,"Fortunately, her son was too young to remember her mistake.",She was very proud of herself.,"Molly was picking up her son's birthday cake at the store.She didn't bother to check the box before she left.When she got home, she opened the box.Then, she realized she had picked up the wrong cake.",1
107,107,107,Kate did not sell any doughnuts.,Kate won one hundred dollars.,"Kate was having a school fundraiser for Krispy Kreme Doughnuts.Kate was selling the doughnuts for band uniforms.In addition, the top seller would get a monetary prize.Kate worked hard over the next two weeks selling doughnuts.",2
108,108,108,His family loved it.,It was the best apple juice that they had ever had.,"Ed wanted to make homemade juice for his family.He bought a bag of oranges and juiced them.Then he chilled the juice overnight.In the morning, he served it to his family.",1
109,109,109,Lily hated writing.,Lily enjoyed writing the book.,"Lily always loved to read.She wondered sometimes, what it would be like to write a book?She decided to take a course on fiction writing.Lily did well in the course, and during it, wrote a short book.",2
110,110,110,Drew made a mess.,Drew kept his car clean this way.,Drew order a small ice cream cone at the Drive Thru.He drove to the front window to wait for his order.The cashier handed the ice cream with one of her hands.Drew took the ice cream cone and turned it upside down.,1
111,111,111,Sally was happy.,The phone broke.,Sally was trying to take the dog for a walk.She had her phone in her hand.The dog jerked hard on the leash.The phone went flying.,2
112,112,112,Gordon thought overgrown grass was rustic and appealing.,The engine roared and off Gordon went.,Gordon needed to mow the lawn.He got the lawn mower out of the shed.He filled the mower with gasoline and oil.He yanked on the starting cord to start the engine.,2
113,113,113,"So, Mary decided to walk to work rather than wait for the bus.","So, Mary decided to go get a coffee rather than wait for the bus.","The woman hated uncertainty.She especially hated it today, while waiting for the bus.The bus was late, and if she didn't start walking soon, she'd be late.She knew if she started walking now, she'd make it to work on time.",1
114,114,114,I could not come up with any ideas.,I made the painting and felt proud.,"I had always wanted to make a masterpiece.One day while drinking tea, I had an idea.I went to my computer to begin sketching.The idea came together for a great painting.",2
115,115,115,Cora then confronted Dawn about doing it.,Dawn felt happy about getting away with it.,"Dawn was envious of Cora's new car.On halloween night, Dawn keyed the car.Cora was crushed.She had completely no idea who may have done it.",2
116,116,116,Sam hated it.,Sam liked it.,"Sam vowed to try something new at the dinner party tonight.He saw shrimp cocktail appetizers and decided to try those.He lifted a shrimp to his mouth cautiously.As he chewed it, his face broke into a grin.",2
117,117,117,Alma wished she had never gone to that restaurant.,A year later they were married.,Alma was at a restaurant by herself.A guy saw her by herself and asked her if he could sit with her.They started talking and realized that they had a connection.She gave him her number and they started going out on dates.,2
118,118,118,Tim is happy to go to the coffee shop every day .,Tim opens his own coffee shop across the street.,Tim loves to drink coffee.He goes to the same place every morning and orders the same coffee.He goes there so much that the barista already has his order made.This makes things very convenient for Tim and he gives her good tips.,1
119,119,119,The cake still wasn't prepared correctly.,"The wine tasted delicious, which made me very happy.",I went to the wine cellar to check on my wine.I rolled out the barrel and stood it upright.I popped off the cork on the barrel.Into the barrel I plunged a cup on a string.,2
120,120,120,They buy a yacht.,They find out the house has already been sold.,A husband and his wife are looking for a new home.They drive around their desired neighborhood to view the real estate.They find a particular house that they really like for sale.They call the number on the sign to inquire about the house.,2
121,121,121,Kate and Greg licked the candy gleefully.,"Afraid of germs, Kate and Greg threw the candy in the trash.","Kate and Greg went to a little candy shop together.They looked around at their options and made their choice.They went up to the cashier and said what they wanted.The cashier, with unwashed hands, bagged the candy without gloves.",2
122,122,122,Larry enjoyed the interaction he received from those artists.,Larry learned a lot about copyright from his experience.,Larry loved making music.He especially liked remixing other people's work.He would upload his stuff to youtube.Eventually he was sued by too many other artists.,2
123,123,123,They decided to never return to the resort.,They had more fun at the resort than they would have at the park.,Tim and John decided to drive to their favorite amusement park.On the way their car started to overheat and it broke down.They found a mechanic to fix the car but it would take a day.So they found a resort with a pool and swam the day away.,2
124,124,124,I slammed down a glass and stormed out of the restaurant.,We had a great time together.,I went out to a casual dinner with a group of friends.We went to a local Mexican restaurant.I had nachos and a couple of beers.We talked and laughed for a couple of hours.,2
125,125,125,I thoroughly enjoyed the experience.,I'll never buy Proactiv again.,"Proactiv was advertising their products on television.Considering that my acne is bad, I ordered some of their products.After several weeks, no positive effects were observed.Instead, my face caught a huge rash.",2
126,126,126,They said yes!,Amy hated her family.,Amy wanted to be a magician.She practiced every day.Then she put on a magic show for her family.She asked them if they'd been fooled.,1
127,127,127,So Shannon decided to look for her necklace at home.,Shannon bought a dog to replace it.,"Shannon was sad, because she lost her necklace.She thought it might be at work or in her car.Shannon looked all over for the necklace.She didn't find it in the car or at work.",1
128,128,128,Sandy could now see in her home.,Sandy still could not see in her home!,Sandy was at home.Her home was dark.She needed light!Her friend bought her a lamp.,1
129,129,129,Her parents stole her key.,So she borrowed the money from a friend.,Gina lost her key for the 2nd time in 8 months.Last time she replaced it without her parents knowing.But she had no money to buy a new one now.Gina knew her parents would be upset.,2
130,130,130,Hank bought a black car.,Hank was disappointed there weren't any white cars left in stock.,Hank decided on a new car.But he wasn't sure which color to pick.He thought of how elegant white would look.So he decided to choose white.,2
131,131,131,It's bound to be the best Christmas ever.,I think she'll be surprised and delighted by all of it.,"I sent flowers and a cookie to my wife today.Valentine's Day is Sunday but I sent things to her work.The flowers were roses in a glass vase.The cookie said ""Happy Valentine's Day.""",2
132,132,132,Clayton gives his car away.,Clayton is very happy with his new car.,Clayton wants a car so that he can feel more independent.He begins saving more money from his job at the library.Clayton researches different car types.Finally he decides to buy a small sedan.,2
133,133,133,Now Horatio enjoys traveling to many big cities.,Horatio will never travel to a big city again.,"Horatio had always been afraid of spending time in big cities.His friends and family encouraged him to try visiting a city.Finally he took their advice and booked a bus ticket to Boston.Once there, Horatio found Boston to be fun and friendly.",1
134,134,134,He jumped up and several of the bees stung him.,"He jumped, startled and ran for his house.",Arnold was scared of frogs.One day he went out to his backyard.He started playing.He saw a frog jump out of no where.,2
135,135,135,Henry wished he looked like the handsome mailman.,His dad's teasing makes Henry feel bad.,"All of the Ross family has red hair, except Henry.Henry has blonde hair that is very curly.Henry's father often teases Henry's mother about the mailman.The mailman has blonde, curly hair, but he is very ugly.",2
136,136,136,Samantha likes the color of her car now.,Samantha thinks her bus looks pretty now.,Samantha had recently purchased a used car.She loved everything about the car except for the color.She took her car to her local paint shop.She got it painted a bright pink color.,1
137,137,137,Alex skipped his Economics class because it was so hard.,Alex started a home business as one extra credit assignment.,Alex wanted to get an A in Economics.It was a very tough course.He studied as much as he could.He did extra credit assignments.,2
138,138,138,Ivan apologized and turned the oven off.,They were all pleased that Ivan had turned on the oven.,It was a very hot day.But Ivan wanted to eat chicken.So he baked some chicken in the oven.Everyone else in the house complained that it was too hot.,1
139,139,139,The worker told Molly to keep using the computer she had at home.,The worker recommended a few different computers to Molly.,Molly's computer broke last week and she knew she needed a new one.Her computer had fallen off of the table on accident.Molly went to the store to look for a new computer to buy.She wasn't sure which one was the best so she asked the worker.,2
